sujet,jour,status,format,n_runs,n_trials,n_right,n_left,n_walk,n_idle,amp_mean,amp_max,n_artifacts,pct_valid,bci_steps,bci_walk,mean
Subj05,Jour 1,OK,Training,8,237,78,80,79,0,85.0,150.9,62,73.8%,0.666,0.763,0.715
Subj05,Jour 2,OK,Test,9,268,89,89,90,0,77.8,3694.2,28,89.6%,0.716,0.807,0.761
Subj05,Jour 3,OK,Test,8,230,78,76,76,0,75.6,1417.8,36,84.3%,0.717,0.828,0.772
subj06,Jour 1,OK,Training,9,267,90,87,90,0,116.5,214.8,188,29.6%,0.672,0.808,0.740
subj06,Jour 2,OK,Test,9,267,89,88,90,0,129.9,2856.0,132,50.6%,0.706,0.809,0.758
subj06,Jour 3,VIDE,Test,7,0,0,0,0,0,-,-,-,-,-,-,-
Subj07,Jour 1,OK,Training,9,270,90,90,90,0,72.4,180.1,46,83.0%,0.658,0.787,0.723
Subj07,Jour 2,OK,Test,8,196,65,65,66,0,78.9,1695.3,11,94.4%,0.693,0.803,0.748
Subj07,Jour 3,OK,Test,4,111,36,38,37,0,72.2,2068.1,4,96.4%,0.713,0.841,0.777
Subj09,Jour 1,OK,Training,9,255,85,84,86,0,80.3,209.1,42,83.5%,0.666,0.799,0.732
Subj09,Jour 2,OK,Test,8,236,78,78,80,0,66.5,1020.2,16,93.2%,0.696,0.779,0.738
Subj09,Jour 3,OK,Test,8,238,80,80,78,0,59.7,142.8,10,95.8%,0.719,0.814,0.766
Subj10,Jour 1,OK,Training,9,259,86,86,87,0,447.6,100116.0,12,95.4%,0.680,0.808,0.744
Subj10,Jour 2,OK,Test,8,234,79,77,78,0,81.7,450.7,21,91.0%,0.708,0.793,0.751
Subj10,Jour 3,OK,Test,8,230,76,76,78,0,1491.9,67110.6,230,0.0%,0.729,0.818,0.773
Subj11,Jour 1,OK,Training,10,253,83,86,84,0,108.2,195.3,165,34.8%,0.665,0.785,0.725
Subj11,Jour 2,OK,Test,6,145,49,49,47,0,83.7,152.6,30,79.3%,0.657,0.786,0.722
Subj11,Jour 3,OK,Test,6,175,58,58,59,0,93.7,535.7,55,68.6%,0.693,0.809,0.751
Subj12,Jour 1,OK,Training,9,225,78,72,75,0,135.9,273.6,184,18.2%,0.637,0.787,0.712
Subj12,Jour 2,OK,Test,9,240,80,80,80,0,173.2,653.6,208,13.3%,0.738,0.789,0.763
Subj12,Jour 3,OK,Test,7,206,69,69,68,0,123.5,1233.6,127,38.3%,0.713,0.792,0.752
Subj17,Jour 1,OK,Training,8,202,66,67,69,0,115.3,2239.9,40,80.2%,0.669,0.784,0.727
Subj17,Jour 2,OK,Test,6,164,54,58,52,0,142.0,6126.0,62,62.2%,0.695,0.808,0.752
Subj17,Jour 3,OK,Test,7,207,69,68,70,0,144.8,676.1,158,23.7%,0.706,0.810,0.758
Subj18,Jour 1,OK,Training,10,297,100,98,99,0,184.8,18549.2,210,29.3%,0.663,0.795,0.729
Subj18,Jour 2,OK,Test,8,238,79,79,80,0,74.3,167.2,30,87.4%,0.691,0.813,0.752
Subj18,Jour 3,OK,Test,7,182,62,60,60,0,223.5,20167.1,69,62.1%,0.657,0.781,0.719
